id,Completed,Last_page_seen,Start_language,devel-exp-langs_[C],devel-exp-langs_[CXX],devel-exp-langs_[CS],devel-exp-langs_[JAVA],othertools,seqan-exp,install-difficulty_[all],install-difficulty_[svn],install-difficulty_[cmake],install-difficulty_[ide],install-good,install-bad,techniques-before_[stl],techniques-before_[meta],techniques-before_[sub],techniques-before_[glbl],techniques-after_[stl],techniques-after_[meta],techniques-after_[sub],techniques-after_[glbl],tutorials_[1],tutorials_[2],tutorials_[3],tutorials_[4],tutorials_[5],tutorials_[6],tutorials_[7],tutorials_[8],tutorials_[9],tutorials_[10],tutorials_[11],tutorials_[12],tutorials_[13],tutorials_[14],tut-preknowledge_[1],tut-preknowledge_[2],tut-preknowledge_[3],tut-preknowledge_[4],tut-preknowledge_[5],tut-preknowledge_[6],tut-preknowledge_[7],tut-preknowledge_[8],tut-preknowledge_[9],tut-preknowledge_[10],tut-preknowledge_[11],tut-preknowledge_[12],tut-preknowledge_[13],tut-preknowledge_[14],tut-usefulness_[1],tut-usefulness_[2],tut-usefulness_[3],tut-usefulness_[4],tut-usefulness_[5],tut-usefulness_[6],tut-usefulness_[7],tut-usefulness_[8],tut-usefulness_[9],tut-usefulness_[10],tut-usefulness_[11],tut-usefulness_[12],tut-usefulness_[13],tut-usefulness_[14],tut-withouthelp_[1],tut-withouthelp_[2],tut-withouthelp_[3],tut-withouthelp_[4],tut-withouthelp_[5],tut-withouthelp_[6],tut-withouthelp_[7],tut-withouthelp_[8],tut-withouthelp_[9],tut-withouthelp_[10],tut-withouthelp_[11],tut-withouthelp_[12],tut-withouthelp_[13],tut-withouthelp_[14],tut-docs_[1],tut-docs_[2],tut-docs_[3],tut-docs_[4],tut-docs_[5],tut-docs_[6],tut-docs_[7],tut-docs_[8],tut-docs_[9],tut-docs_[10],tut-docs_[11],tut-docs_[12],tut-docs_[13],tut-docs_[14],tut-like_[1_good],tut-like_[1_bad],tut-like_[2_good],tut-like_[2_bad],tut-like_[3_good],tut-like_[3_bad],tut-like_[4_good],tut-like_[4_bad],tut-like_[5_good],tut-like_[5_bad],tut-like_[6_good],tut-like_[6_bad],tut-like_[7_good],tut-like_[7_bad],tut-like_[8_good],tut-like_[8_bad],tut-like_[9_good],tut-like_[9_bad],tut-like_[10_good],tut-like_[10_bad],tut-like_[11_good],tut-like_[11_bad],tut-like_[12_good],tut-like_[12_bad],tut-like_[13_good],tut-like_[13_bad],tut-like_[14_good],tut-like_[14_bad],seqan-good,seqan-bad,workshop-like,workshop-orga,workshop-team,workshop-time,workshop-expectation,seqan-future,seqan-future_[comment],studies,studies-finished,Token

5,2011-09-14 09:22:29,5,en,Beginner: few experience,Advanced: average experience,Beginner: few experience,Beginner: few experience,HTSeq GATK,I develop my own SeqAn apps / command line programs.,Easy,Easy,Very easy,Easy,cmake build system,the first build takes ages (builds all the seqan apps) - if you follow the tutorial,Much experience,Much experience,Much experience,Ordinary experience,Much experience,Much experience,Much experience,Ordinary experience,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Ordinary experience,Much experience,Ordinary experience,Much experience,Much experience,Much experience,Much experience,"Basic skills, few experience",No experience,No experience,No experience,"Basic skills, few experience",No experience,No experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,Average,Average,Average,NOT WORKED ON TUTORIAL,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functionality Range of available concepts (algorithms and DataStructures),Debugging template metaprogramming code!,Good,Good,Above averagely helpful,Good,,Yes,,Bioinformatics,MSc,6ix8

6,2011-09-14 09:29:15,5,en,Beginner: few experience,Beginner: few experience,Beginner: few experience,Advanced: average experience,N.A.,I never worked with SeqAn.,Average,Very easy,Easy,Easy,Works for XCode 3 for me. ,"The sandbox and build directory ""concepts"" could use a few comments. Use of make files and vi or Emacs should be a spelled out option in the installation process. ",Unknown technique,Unknown technique,Unknown technique,Unknown technique,"Basic skills, few experience","Basic skills, few experience","Basic skills, few experience","Basic skills, few experience",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Ordinary experience,Ordinary experience,"Basic skills, few experience",Ordinary experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,No,No,No,No,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,Average,Average,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Well explained,Too tough a start,,"Assignment 6 much too easy, should be part of basic tutorial.Thinking about Strings needs solutions",,No assignments,Best tutorial of the first four.,,,,,,,,,,,,,,,,,,,,,,Powerful tool set. Decent documentation. Tutorials.,"No tutorial on metafunctions etc, only explanations, which are hard to put into practice.",Good,Good,Above averagely helpful,Good,More introduction to Seqan in a tutorial context. There were 24h between the introduction and the first tutorial session. ,Yes,When an efficient library is required.,Biotechnology,Dr.,9v4s

7,2011-09-14 09:20:35,5,de,Advanced: average experience,Advanced: average experience,Beginner: few experience,"Guru: (highly) specific language skills, problem solving within the meaning of standard libraries",KNIME Eclipse,I never worked with SeqAn.,Average,Very easy,Easy,Average,,Zu viel Handarbeit. Vorgefertigte Workspaces für die drei Entwicklungsumgebungen?,"Basic skills, few experience",Ordinary experience,"Basic skills, few experience","Basic skills, few experience","Basic skills, few experience",Ordinary experience,"Basic skills, few experience","Basic skills, few experience",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Basic skills, few experience",No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Above average,Above average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Großer Funktionsumfang,Leider nicht sonderlich objektorientiert. Arbeit mit Templates kompliziert.,Good,Very good,Extraordinarily helpful,Good,,No,"Naja, an der Integration in KNIME werde ich arbeiten.",Informatik,Promotion,d8ij

8,2011-09-14 09:24:16,5,en,Beginner: few experience,Beginner: few experience,No experience,Advanced: average experience,"no seqan, I am a KNIME and bash, gawk user",I never worked with SeqAn.,Very difficult,Very easy,Very easy,Very difficult,"knowing how easy it is to install KNIME, the overall process of installation/compiling etc in eclipse  is quite complicated","in Eclipse: having to build outside of eclipse, indexing is extremely slow, actually that slow that it prohibits from using Eclipse. The use of seqan as pure library is not done by default, but rather the development of it...",Unknown technique,Unknown technique,Unknown technique,Unknown technique,"Basic skills, few experience","Basic skills, few experience",Unknown technique,Unknown technique,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Basic skills, few experience",No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,"Basic skills, few experience",Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,No,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,No,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,support by seqan people,,,,,,,,,,,,,,,,,,,,,,,,,,Manuel's support,,"Well I don't know much, but I am expecting speed. And more functionality compared to samtools.c",complicated to install/maintain,Good,Good,Above averagely helpful,Good,"get to know seqan,  yes",Yes,"most probably at least, still need to spend a few weeks probably to get to know it better. will then decide",chemistry/bioinformatics,phd,8r9y

9,2011-09-14 09:31:41,5,en,Advanced: average experience,Beginner: few experience,No experience,No experience,none,I know something about SeqAn but hardly worked with it.,Easy,Easy,Easy,Easy,it works,?,Unknown technique,Unknown technique,Unknown technique,Unknown technique,Unknown technique,Unknown technique,Unknown technique,Unknown technique,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,No,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,examples,,,,,,,,,,,,,,,,,,,,,,,,,,,,good implemented library many usefull functions,hard to learn,Average,Good,Averagely helpful,Good,learn more about seqan and knime -> average exchange of experiences -> good meet other scientists -> good,Yes,yes we can,bioinformatics,master,7qex

11,2011-09-14 09:30:41,5,en,Advanced: average experience,Advanced: average experience,No experience,Beginner: few experience,"CPLEX, Lemon, LEDA",I never worked with SeqAn.,Easy,Easy,Average,Easy,That it worked. ,It has been a bit cumbersome to open the first project. But this is minor.,"Basic skills, few experience",Unknown technique,Unknown technique,Unknown technique,"Basic skills, few experience","Basic skills, few experience","Basic skills, few experience","Basic skills, few experience",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Assignments + solutions help,"Some topics are not motivated well enough (eg, memory allocation)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,Many algorithms seem to be implemented.,"A lot of effort is required to get started (new, strange concepts, code not readable anymore, ...)",Good,Very good,Above averagely helpful,Good,"I expected to get a feeling about what Seqan and Knime are. This expectation was met. In addition, I had a lot of interesting discussions about different topics.",Yes,"I will likely give it a try. Maybe it will not work, because of the difficulties to use it. For beginners it is too hard to learn, whereas experts, which may believe in different design strategies, may not want to adapt to the SeQan concepts.  ",Computer Science,PhD,hyk6

